First name,Last name,National Insurance number,In which tax year was the money purchase pension savings statement issued? (XXXX to XXXX),What is the total of the member’s pension input amounts for money purchase arrangements under the scheme for the tax year that the purchase pension savings statement was issued? (£)
Sadie,Mertz,AB951672C,2022 to 2023,507.60
Victor,Swaniawski,AB671370C,2022 to 2023,211.61
Watson,Rempel,AB167428C,2022 to 2023,949.89
Earnestine,McKenzie,AB745706C,2022 to 2023,477.15
Lacey,Effertz,AB837937C,2022 to 2023,140.54
Ellsworth,Kuhlman,AB589255C,2022 to 2023,468.83
Wade,Keeling,AB167564C,2022 to 2023,443.28
Emilie,Johnston,AB536058C,2022 to 2023,647.66
Antone,Conn,AB782886C,2022 to 2023,499.03
Yazmin,Hermann,AB647358C,2022 to 2023,603.76
Ardella,Block,AB586455C,2022 to 2023,61.65
Leda,Prohaska,AB100840C,2022 to 2023,516.96
Keagan,Kirlin,AB555073C,2022 to 2023,105.24
Waino,Jenkins,AB977481C,2022 to 2023,120.36
Bryce,Hauck,AB286638C,2022 to 2023,197.24
Kian,Kshlerin,AB231618C,2022 to 2023,607.61
Milford,Lueilwitz,AB799091C,2022 to 2023,214.95
Jose,Collier,AB759502C,2022 to 2023,562.24
Sierra,Kulas,AB316351C,2022 to 2023,888.69
Bernardo,Abshire,AB945100C,2022 to 2023,432.22
Ahmad,Haley,AB422988C,2022 to 2023,406.96
Gino,Beahan,AB790254C,2022 to 2023,296.23
Brice,Metz,AB792181C,2022 to 2023,569.66
Caitlyn,Nicolas,AB764529C,2022 to 2023,255.38
Lucius,Kub,AB105205C,2022 to 2023,634.37
Olen,Lueilwitz,AB185950C,2022 to 2023,768.75
Mikayla,Gorczany,AB163063C,2022 to 2023,401.42
Kaitlyn,Leuschke,AB399594C,2022 to 2023,99.13
Augusta,Stokes,AB122025C,2022 to 2023,552.75
Kiana,Ortiz,AB232249C,2022 to 2023,456.17
Elvie,Ferry,AB443682C,2022 to 2023,57.57
Angelina,Ruecker,AB410724C,2022 to 2023,890.83
Emile,Schultz,AB157832C,2022 to 2023,340.43
Eli,Miller,AB473614C,2022 to 2023,19.91
Simone,Crooks,AB561659C,2022 to 2023,651.26
Charlene,Waters,AB106784C,2022 to 2023,662.58
Anabel,Shields,AB826385C,2022 to 2023,267.88
Charlotte,Wisozk,AB253557C,2022 to 2023,995.66
Linda,Friesen,AB112043C,2022 to 2023,542.29
Sydnie,Schroeder,AB654530C,2022 to 2023,260.94
Daniela,Berge,AB567914C,2022 to 2023,872.00
Alejandrin,Jacobs,AB874783C,2022 to 2023,259.98
Braeden,Murphy,AB309012C,2022 to 2023,677.74
Nettie,Dooley,AB803059C,2022 to 2023,762.93
Tyreek,Douglas,AB142692C,2022 to 2023,89.69
Bethel,Tremblay,AB294278C,2022 to 2023,892.21
Murl,Zieme,AB186522C,2022 to 2023,265.71
Jettie,Weber,AB816818C,2022 to 2023,356.60
Eunice,Shanahan,AB137080C,2022 to 2023,296.34
Lora,Howe,AB135910C,2022 to 2023,890.83
Tess,Bruen,AB498472C,2022 to 2023,388.35
Leola,Kautzer,AB431727C,2022 to 2023,125.39
Davin,Ankunding,AB180797C,2022 to 2023,643.17
Ansel,Hickle,AB602740C,2022 to 2023,856.86
Elmore,Effertz,AB131634C,2022 to 2023,995.32
Haskell,Haley,AB637805C,2022 to 2023,214.68
Broderick,Marks,AB748375C,2022 to 2023,136.87
Patrick,Carter,AB504742C,2022 to 2023,48.09
Jaylen,Beatty,AB471455C,2022 to 2023,454.62
Jamey,Anderson,AB844056C,2022 to 2023,207.00
Scarlett,Fisher,AB802303C,2022 to 2023,223.34
Geovany,Pouros,AB642215C,2022 to 2023,469.00
Hildegard,Hackett,AB603020C,2022 to 2023,84.32
Dameon,King,AB323370C,2022 to 2023,857.13
Madyson,Bechtelar,AB556272C,2022 to 2023,482.07
Elwyn,Schroeder,AB327936C,2022 to 2023,264.88
Leone,Larson,AB524859C,2022 to 2023,654.02
Guy,Lakin,AB159828C,2022 to 2023,77.67
Berry,Emard,AB901081C,2022 to 2023,441.08
Merle,Abshire,AB113405C,2022 to 2023,628.01
Wilfredo,Leannon,AB647874C,2022 to 2023,450.61
Amya,Bailey,AB562538C,2022 to 2023,60.39
Dulce,Larson,AB221011C,2022 to 2023,836.74
Guadalupe,Will,AB808588C,2022 to 2023,831.22
Marion,Jones,AB442300C,2022 to 2023,675.26
Clotilde,Bernhard,AB598348C,2022 to 2023,9.18
Quentin,Bergstrom,AB204295C,2022 to 2023,10.42
Myra,Cruickshank,AB340166C,2022 to 2023,662.54
Kirk,Hauck,AB614886C,2022 to 2023,262.54
Francisco,Wisoky,AB399747C,2022 to 2023,457.10
Janie,Huel,AB477353C,2022 to 2023,14.83
Rhoda,Upton,AB516453C,2022 to 2023,711.88
Jena,Roberts,AB309046C,2022 to 2023,718.57
Elliott,Bins,AB823122C,2022 to 2023,806.03
Evert,Monahan,AB273869C,2022 to 2023,949.52
Alanna,Kub,AB464229C,2022 to 2023,706.73
Darion,Hills,AB360710C,2022 to 2023,956.81
Shyann,Keebler,AB704022C,2022 to 2023,894.74
Vada,Nicolas,AB565235C,2022 to 2023,56.09
Joaquin,Strosin,AB539428C,2022 to 2023,383.09
Emely,Funk,AB825896C,2022 to 2023,334.83
Gust,Lesch,AB856368C,2022 to 2023,525.34
Kenyatta,Davis,AB159776C,2022 to 2023,819.09
Lela,Weimann,AB695876C,2022 to 2023,196.78
Bethel,Dooley,AB611441C,2022 to 2023,697.71
Hans,Langworth,AB792361C,2022 to 2023,115.96
Myriam,Moen,AB751523C,2022 to 2023,179.71
Judd,Corkery,AB109380C,2022 to 2023,865.87
Cecile,Kilback,AB954706C,2022 to 2023,738.97
Brain,Beatty,AB263783C,2022 to 2023,188.24
Krystel,Orn,AB440579C,2022 to 2023,437.78
Lizeth,Jewess,AB383982C,2022 to 2023,483.23
Moriah,Wuckert,AB495735C,2022 to 2023,755.01
Kim,Mraz,AB434037C,2022 to 2023,901.16
Robyn,Legros,AB220730C,2022 to 2023,986.20
Russ,Hudson,AB855531C,2022 to 2023,708.97
Jessie,Terry,AB220574C,2022 to 2023,276.47
Hosea,Stokes,AB567782C,2022 to 2023,113.64
Dedric,Hilll,AB581603C,2022 to 2023,308.57
Reuben,Veum,AB768540C,2022 to 2023,404.71
Marquis,Watsica,AB264542C,2022 to 2023,87.87
Alessandro,Conroy,AB634567C,2022 to 2023,981.35
Cassandre,Hilll,AB415754C,2022 to 2023,366.87
Adonis,Hackett,AB520772C,2022 to 2023,307.45
Elliot,Bergnaum,AB765122C,2022 to 2023,903.62
Odessa,Heathcote,AB168667C,2022 to 2023,935.21
Nathan,Mayer,AB914526C,2022 to 2023,765.06
Xavier,Pagac,AB263248C,2022 to 2023,503.55
Clotilde,Lowe,AB273720C,2022 to 2023,59.91
Zella,Dooley,AB258928C,2022 to 2023,283.31
Talia,Hansen,AB650786C,2022 to 2023,756.22
Danika,Schaden,AB375500C,2022 to 2023,361.14
Guy,Walter,AB239275C,2022 to 2023,385.33
June,Willms,AB248205C,2022 to 2023,379.15
Tito,Mohr,AB586758C,2022 to 2023,177.17
Ignatius,Okuneva,AB203776C,2022 to 2023,51.97
Lenny,Leuschke,AB944368C,2022 to 2023,605.66
Rhett,Marks,AB769669C,2022 to 2023,219.93
Vita,Frami,AB762103C,2022 to 2023,378.35
Alexandra,McGlynn,AB399259C,2022 to 2023,582.45
Kayli,Swift,AB324652C,2022 to 2023,155.31
Collin,Doyle,AB145927C,2022 to 2023,667.70
Aurelio,Johnson,AB487029C,2022 to 2023,198.57
Savion,Lockman,AB942813C,2022 to 2023,686.47
Gardner,Von,AB860582C,2022 to 2023,177.93
Coby,Erdman,AB320219C,2022 to 2023,475.97
Adrain,Stoltenberg,AB493797C,2022 to 2023,309.39
Margarette,Goyette,AB643282C,2022 to 2023,183.31
Mallory,Rutherford,AB560182C,2022 to 2023,814.20
Cecile,Rippin,AB933373C,2022 to 2023,903.05
Aiden,Wyman,AB348502C,2022 to 2023,224.46
Robin,Crist,AB266849C,2022 to 2023,286.54
Marjory,Wolf,AB964503C,2022 to 2023,106.95
Vergie,Sanford,AB400325C,2022 to 2023,457.39
Major,Nicolas,AB982388C,2022 to 2023,482.56
Joannie,Harvey,AB674263C,2022 to 2023,841.35
Garth,Kerluke,AB305950C,2022 to 2023,487.18
Anastasia,Schoen,AB686708C,2022 to 2023,420.88
Otho,Hane,AB733960C,2022 to 2023,293.73
Justus,Bergnaum,AB207974C,2022 to 2023,122.64
Luciano,Wilkinson,AB943240C,2022 to 2023,311.59
Jacques,Smith,AB493658C,2022 to 2023,983.38
Rodolfo,Dibbert,AB897706C,2022 to 2023,994.27
Gayle,Mertz,AB962178C,2022 to 2023,672.07
Favian,McCullough,AB167414C,2022 to 2023,213.14
Ivory,Gusikowski,AB319653C,2022 to 2023,98.59
Tabitha,Ritchie,AB104446C,2022 to 2023,391.69
Santina,Spinka,AB286306C,2022 to 2023,867.62
Camden,Jones,AB627387C,2022 to 2023,781.75
Bethel,Glover,AB712587C,2022 to 2023,142.89
Modesto,Moen,AB134751C,2022 to 2023,434.72
Brady,Mante,AB374447C,2022 to 2023,585.64
Daisha,Glover,AB593060C,2022 to 2023,45.98
Merritt,Ondricka,AB355899C,2022 to 2023,184.63
Leanna,Borer,AB723791C,2022 to 2023,154.71
Demarcus,Fahey,AB433315C,2022 to 2023,581.71
Brad,Heller,AB466442C,2022 to 2023,944.75
Dillon,Moen,AB662530C,2022 to 2023,620.39
Bernard,Donnelly,AB246674C,2022 to 2023,817.27
Reinhold,Graham,AB407002C,2022 to 2023,123.70
Torrey,Ratke,AB553743C,2022 to 2023,233.33
Orland,King,AB522930C,2022 to 2023,909.40
Eliza,Hayes,AB347576C,2022 to 2023,737.43
Dustin,Gusikowski,AB766416C,2022 to 2023,378.27
Ryleigh,Legros,AB179666C,2022 to 2023,260.10
Savion,Kulas,AB689595C,2022 to 2023,396.58
Coy,Pouros,AB704309C,2022 to 2023,503.56
August,Quitzon,AB350449C,2022 to 2023,311.74
Landen,Frami,AB146033C,2022 to 2023,624.19
Kelsi,Reinger,AB696585C,2022 to 2023,929.69
Natalie,Wilkinson,AB206178C,2022 to 2023,814.51
Kimberly,Zulauf,AB134218C,2022 to 2023,408.97
Jedidiah,Senger,AB700555C,2022 to 2023,936.64
Savannah,Hammes,AB890884C,2022 to 2023,285.50
Lorine,Fay,AB327175C,2022 to 2023,367.32
Angeline,Stoltenberg,AB808759C,2022 to 2023,447.54
Reta,Jast,AB306572C,2022 to 2023,584.02
Benton,Fritsch,AB234022C,2022 to 2023,117.74
Ethan,Fritsch,AB184038C,2022 to 2023,840.72
Cassandra,Rice,AB545646C,2022 to 2023,388.65
Leanna,Harvey,AB101134C,2022 to 2023,159.90
Isidro,Bayer,AB658695C,2022 to 2023,112.77
Cory,Gulgowski,AB424091C,2022 to 2023,691.55
Euna,Ankunding,AB898408C,2022 to 2023,565.17
Kassandra,Anderson,AB407885C,2022 to 2023,807.17
Melba,Herman,AB818417C,2022 to 2023,569.96
Elnora,Glover,AB898871C,2022 to 2023,542.09
Thelma,Considine,AB771073C,2022 to 2023,526.88
Chyna,Abernathy,AB649718C,2022 to 2023,446.74
Dina,Koelpin,AB885157C,2022 to 2023,927.66
Leora,Anderson,AB805556C,2022 to 2023,929.18
Shany,Cruickshank,AB492070C,2022 to 2023,816.71
Erik,Schumm,AB971906C,2022 to 2023,258.28
Katherine,Spinka,AB453447C,2022 to 2023,474.41
Everette,Koch,AB845739C,2022 to 2023,533.30
Cierra,Rempel,AB537541C,2022 to 2023,338.12
D'angelo,Johnson,AB212112C,2022 to 2023,324.69
Norbert,Von,AB628565C,2022 to 2023,33.20
Felicita,Schultz,AB334887C,2022 to 2023,955.09
Jerod,Collier,AB828629C,2022 to 2023,440.19
Albina,Cartwright,AB432210C,2022 to 2023,363.44
Ramiro,Swift,AB972207C,2022 to 2023,832.78
Dagmar,Graham,AB513643C,2022 to 2023,772.67
Felton,Rogahn,AB556362C,2022 to 2023,318.31
Sigurd,Braun,AB674758C,2022 to 2023,42.11
Mohammad,Dooley,AB696425C,2022 to 2023,468.12
Davon,Turner,AB576655C,2022 to 2023,321.58
Verona,Gottlieb,AB419787C,2022 to 2023,782.68
Conor,Jacobs,AB452671C,2022 to 2023,487.42
Jade,Erdman,AB804649C,2022 to 2023,271.88
Wilfredo,Boehm,AB740073C,2022 to 2023,347.35
Reyna,Schultz,AB690474C,2022 to 2023,480.42
Rowan,Dickens,AB114518C,2022 to 2023,314.58
Willard,Okuneva,AB149698C,2022 to 2023,730.56
Kyra,DuBuque,AB552834C,2022 to 2023,561.22
Paul,Zboncak,AB490425C,2022 to 2023,416.27
Lloyd,Langosh,AB167296C,2022 to 2023,901.33
Ignatius,Stracke,AB296944C,2022 to 2023,121.54
Wellington,Kerluke,AB603857C,2022 to 2023,433.14
Dolly,Watsica,AB699848C,2022 to 2023,641.48
Hilario,Schuppe,AB184053C,2022 to 2023,510.76
Oran,Bahringer,AB102884C,2022 to 2023,700.53
Billy,Spencer,AB856271C,2022 to 2023,639.47
Jackie,Bernier,AB736629C,2022 to 2023,605.07
Marge,Shanahan,AB669921C,2022 to 2023,369.31
Shanny,Labadie,AB661562C,2022 to 2023,985.59
Isabell,Crist,AB167063C,2022 to 2023,910.39
Trever,Block,AB562223C,2022 to 2023,52.75
Sheldon,Veum,AB360589C,2022 to 2023,197.52
Peggie,Towne,AB458598C,2022 to 2023,620.59
Alexa,Abshire,AB275786C,2022 to 2023,92.27
Maryse,Bauch,AB345130C,2022 to 2023,620.80
Michele,Hodkiewicz,AB475353C,2022 to 2023,243.30
Amalia,Bernhard,AB163945C,2022 to 2023,916.78
Raphael,Crooks,AB164725C,2022 to 2023,393.27
Crystel,Tillman,AB403519C,2022 to 2023,953.20
Ernest,Hegmann,AB149297C,2022 to 2023,320.82
Delia,Abernathy,AB317649C,2022 to 2023,770.67
Vivian,Luettgen,AB423857C,2022 to 2023,695.42
Boyd,Strosin,AB649379C,2022 to 2023,233.23
Joe,Jones,AB322671C,2022 to 2023,298.68
Antonette,Reichert,AB408421C,2022 to 2023,129.65
Amely,Kulas,AB318046C,2022 to 2023,896.15
Elsa,Cruickshank,AB788547C,2022 to 2023,894.29
Cameron,Pfannerstill,AB641446C,2022 to 2023,459.97
Maude,Murazik,AB625509C,2022 to 2023,660.26
Koby,Conn,AB814072C,2022 to 2023,411.75
Jayson,Wilkinson,AB856472C,2022 to 2023,915.39
Jalon,Kunze,AB961658C,2022 to 2023,442.07
Harvey,Wolf,AB722551C,2022 to 2023,822.09
Barney,Sanford,AB631818C,2022 to 2023,664.02
Lucile,Haley,AB369710C,2022 to 2023,200.91
Theresia,White,AB318325C,2022 to 2023,405.84
Darius,Walter,AB298494C,2022 to 2023,167.86
Lenna,Spencer,AB173448C,2022 to 2023,944.23
Rose,Weber,AB266627C,2022 to 2023,858.46
Albin,Walsh,AB875090C,2022 to 2023,787.92
Osvaldo,Dach,AB617453C,2022 to 2023,371.06
Hadley,Rolfson,AB451327C,2022 to 2023,590.35
Jettie,Howell,AB351519C,2022 to 2023,924.10
Payton,Senger,AB819720C,2022 to 2023,895.58
Karli,Gulgowski,AB640253C,2022 to 2023,464.20
Laury,Leffler,AB318210C,2022 to 2023,268.47
Layla,Krajcik,AB155694C,2022 to 2023,508.00
Destiny,Mills,AB936627C,2022 to 2023,761.04
Dock,Yost,AB892540C,2022 to 2023,832.55
Olin,Schneider,AB699887C,2022 to 2023,403.08
Eldon,Cronin,AB115429C,2022 to 2023,690.20
Kennith,Lynch,AB540172C,2022 to 2023,165.77
Cale,Welch,AB771439C,2022 to 2023,558.01
Nickolas,Stehr,AB971047C,2022 to 2023,524.51
Madyson,Langworth,AB885563C,2022 to 2023,86.24
Darwin,King,AB743288C,2022 to 2023,450.29
Lonnie,Johnson,AB804852C,2022 to 2023,97.73
Werner,Halvorson,AB366885C,2022 to 2023,908.66
Mollie,Waters,AB974802C,2022 to 2023,839.60
Eloisa,Mitchell,AB770022C,2022 to 2023,278.58
Kirk,Feeney,AB200962C,2022 to 2023,589.01
Sebastian,McGlynn,AB745596C,2022 to 2023,252.30
Stephon,Hammes,AB677580C,2022 to 2023,970.95
Joannie,Kling,AB832460C,2022 to 2023,367.49
Reyna,Yost,AB451240C,2022 to 2023,232.70
Trent,Nienow,AB122085C,2022 to 2023,482.12
Jedediah,Legros,AB249099C,2022 to 2023,341.60
Ruben,Herzog,AB365714C,2022 to 2023,340.61
Lynn,DuBuque,AB270036C,2022 to 2023,182.88
Lawson,Schumm,AB502921C,2022 to 2023,215.34
Mckenna,Streich,AB494862C,2022 to 2023,479.79
Germaine,Davis,AB581031C,2022 to 2023,206.62
Elnora,Barrows,AB641750C,2022 to 2023,760.93
Moriah,Rice,AB740366C,2022 to 2023,847.53
Jessyca,Hoppe,AB833594C,2022 to 2023,123.21
Saul,Kihn,AB550002C,2022 to 2023,588.16
Clark,White,AB179416C,2022 to 2023,801.70
Ceasar,Walter,AB755411C,2022 to 2023,92.21
Cayla,Jaskolski,AB260796C,2022 to 2023,269.46
Rahul,Wiegand,AB654290C,2022 to 2023,120.11
Khalil,Senger,AB982769C,2022 to 2023,208.23
Jayce,Schmeler,AB183172C,2022 to 2023,569.78
Kristofer,Weber,AB493578C,2022 to 2023,534.72
Alejandra,Waelchi,AB148703C,2022 to 2023,725.63
Mollie,Hartmann,AB547281C,2022 to 2023,143.57
Minerva,Lueilwitz,AB834820C,2022 to 2023,774.87
Dayton,Schinner,AB444811C,2022 to 2023,461.97
Athena,Roob,AB845965C,2022 to 2023,515.23
Nyah,Wintheiser,AB626637C,2022 to 2023,755.25
Lucie,Kilback,AB762517C,2022 to 2023,428.86
Robb,Champlin,AB438564C,2022 to 2023,489.69
Demetrius,Bahringer,AB176329C,2022 to 2023,36.10
Daphney,Kreiger,AB754930C,2022 to 2023,781.18
Jayce,Rath,AB500855C,2022 to 2023,74.26
Aniyah,Pollich,AB836467C,2022 to 2023,970.83
Ariel,Conn,AB316963C,2022 to 2023,889.44
Gia,Kling,AB944651C,2022 to 2023,479.73
Tressa,Hauck,AB625147C,2022 to 2023,665.15
Retta,Herman,AB406694C,2022 to 2023,163.82
Rebekah,Howe,AB155099C,2022 to 2023,595.87
Bonita,Schaden,AB353893C,2022 to 2023,199.99
Matilde,Aufderhar,AB951106C,2022 to 2023,717.97
Jefferey,Crooks,AB919378C,2022 to 2023,220.85
Guy,Auer,AB621767C,2022 to 2023,628.21
Emory,Harvey,AB947415C,2022 to 2023,390.95
Queen,Feest,AB277993C,2022 to 2023,58.34
Marina,Bergnaum,AB270134C,2022 to 2023,445.19
Kallie,Stoltenberg,AB307209C,2022 to 2023,450.81
Jesse,Kuhic,AB637506C,2022 to 2023,40.07
Taya,Herman,AB385967C,2022 to 2023,275.73
Emmy,Skiles,AB652656C,2022 to 2023,286.86
Verda,Windler,AB770309C,2022 to 2023,562.53
Tyshawn,Dooley,AB126624C,2022 to 2023,643.33
Ottis,Harber,AB222915C,2022 to 2023,205.10
Ryder,Kunde,AB541843C,2022 to 2023,968.65
Ahmad,Mohr,AB341219C,2022 to 2023,316.59
Geoffrey,Kunze,AB508139C,2022 to 2023,127.39
Mable,Mosciski,AB662467C,2022 to 2023,414.25
Kennedy,O'Keefe,AB383132C,2022 to 2023,963.63
Kaleb,Kris,AB347579C,2022 to 2023,814.82
Demarcus,Friesen,AB261281C,2022 to 2023,966.21
Hipolito,Okuneva,AB244456C,2022 to 2023,597.99
Jaclyn,Stiedemann,AB664546C,2022 to 2023,353.62
Jazmin,Cummings,AB110243C,2022 to 2023,616.17
Ellie,Tillman,AB867184C,2022 to 2023,513.25
Ruthie,Windler,AB239437C,2022 to 2023,424.95
Shaylee,Jewess,AB319444C,2022 to 2023,609.06
Corine,Schamberger,AB602314C,2022 to 2023,564.71
Johann,Rowe,AB894497C,2022 to 2023,310.56
Alicia,Donnelly,AB707781C,2022 to 2023,301.52
Lorenzo,Bogan,AB380115C,2022 to 2023,300.52
Jason,Trantow,AB474587C,2022 to 2023,331.46
Pearlie,Grady,AB233630C,2022 to 2023,614.56
Jaleel,Kuphal,AB945686C,2022 to 2023,636.69
Elouise,Stroman,AB686936C,2022 to 2023,355.07
Germaine,Heathcote,AB661525C,2022 to 2023,567.26
Christine,Roob,AB227078C,2022 to 2023,223.41
Gustave,Schaefer,AB390301C,2022 to 2023,156.89
Norwood,Strosin,AB207410C,2022 to 2023,63.24
Augustus,Hackett,AB272926C,2022 to 2023,30.67
Damion,Stehr,AB702967C,2022 to 2023,860.55
Brody,Prohaska,AB625501C,2022 to 2023,313.76
Durward,Jenkins,AB950493C,2022 to 2023,494.93
Trisha,Hamill,AB490853C,2022 to 2023,240.61
Gennaro,Hilpert,AB589856C,2022 to 2023,441.88
Dena,Kuhlman,AB894223C,2022 to 2023,795.03
Zackery,Harris,AB863424C,2022 to 2023,951.86
Emelia,Smitham,AB713314C,2022 to 2023,945.24
Trisha,Swaniawski,AB495355C,2022 to 2023,101.98
Florence,Lehner,AB827423C,2022 to 2023,636.79
Liana,Schaden,AB287969C,2022 to 2023,967.76
Payton,Schuster,AB437373C,2022 to 2023,613.98
Britney,Quitzon,AB754549C,2022 to 2023,749.38
Danny,Kemmer,AB707384C,2022 to 2023,677.20
Deondre,Frami,AB926537C,2022 to 2023,367.39
Gisselle,Haley,AB315233C,2022 to 2023,761.16
Rylan,Eichmann,AB426452C,2022 to 2023,678.93
Alf,Wunsch,AB442126C,2022 to 2023,688.09
Hope,Robel,AB291809C,2022 to 2023,676.76
Dovie,Rohan,AB280865C,2022 to 2023,813.05
Forrest,Moen,AB851932C,2022 to 2023,492.84
Roel,Paucek,AB906700C,2022 to 2023,845.52
Benny,Walker,AB654081C,2022 to 2023,809.75
Lacey,Goyette,AB659470C,2022 to 2023,569.21
Braeden,Schultz,AB651083C,2022 to 2023,819.16
Mona,Schiller,AB574412C,2022 to 2023,279.46
Claude,Rutherford,AB701062C,2022 to 2023,342.98
Macey,Anderson,AB471254C,2022 to 2023,341.89
Noel,Becker,AB962195C,2022 to 2023,544.60
Armand,Kuhlman,AB129385C,2022 to 2023,961.29
Madaline,Goodwin,AB433225C,2022 to 2023,987.48
Hugh,Huel,AB858433C,2022 to 2023,760.99
Shana,Jakubowski,AB430917C,2022 to 2023,932.58
Elnora,Kshlerin,AB608494C,2022 to 2023,469.85
Dee,Collier,AB881191C,2022 to 2023,688.96
Elisabeth,Legros,AB132742C,2022 to 2023,463.80
Ronny,Mohr,AB526050C,2022 to 2023,908.95
Osborne,Keebler,AB262816C,2022 to 2023,288.74
Brody,Bayer,AB696453C,2022 to 2023,452.55
Broderick,Kuphal,AB859255C,2022 to 2023,393.09
Heaven,Koch,AB558511C,2022 to 2023,476.32
Ross,Jast,AB647302C,2022 to 2023,643.07
Evans,Gulgowski,AB877879C,2022 to 2023,268.56
Brook,Ratke,AB710991C,2022 to 2023,50.59
Cristobal,Abshire,AB983076C,2022 to 2023,81.14
Maurice,Yost,AB638051C,2022 to 2023,633.62
Gilberto,Kerluke,AB854312C,2022 to 2023,144.86
Isobel,Bode,AB458529C,2022 to 2023,169.17
Alexys,Wintheiser,AB799930C,2022 to 2023,877.71
Jose,Hansen,AB110468C,2022 to 2023,999.27
Kristofer,Mante,AB620548C,2022 to 2023,147.58
Arnoldo,McCullough,AB764482C,2022 to 2023,105.62
Rory,McGlynn,AB359416C,2022 to 2023,209.27
Lurline,Romaguera,AB360529C,2022 to 2023,821.67
Nestor,Pollich,AB589499C,2022 to 2023,762.96
Hollis,Bernier,AB197018C,2022 to 2023,343.21
Laila,Cole,AB761282C,2022 to 2023,1.32
Deanna,Howe,AB205117C,2022 to 2023,123.73
Mable,Spinka,AB641093C,2022 to 2023,717.59
Sarina,Wehner,AB989166C,2022 to 2023,137.25
Rodolfo,Lubowitz,AB260595C,2022 to 2023,89.57
Heidi,Ryan,AB489606C,2022 to 2023,665.63
Joannie,Ritchie,AB554092C,2022 to 2023,41.71
Neoma,Ankunding,AB601182C,2022 to 2023,165.94
Golden,Weimann,AB733972C,2022 to 2023,972.35
Sydnee,Witting,AB815339C,2022 to 2023,574.44
Jordi,Dare,AB194439C,2022 to 2023,34.28
Rosalyn,Schoen,AB709308C,2022 to 2023,374.35
Micah,Kuhn,AB299893C,2022 to 2023,524.94
Andres,Thiel,AB255290C,2022 to 2023,546.48
Owen,Reynolds,AB759408C,2022 to 2023,924.99
Kacie,Rice,AB383093C,2022 to 2023,968.30
Bret,Mills,AB330845C,2022 to 2023,887.96
Willow,Yost,AB177442C,2022 to 2023,631.59
Mathilde,Hammes,AB683340C,2022 to 2023,152.57
Camryn,Pacocha,AB739965C,2022 to 2023,534.23
Felicia,Tillman,AB945009C,2022 to 2023,887.32
Jonathon,Yundt,AB932151C,2022 to 2023,482.28
June,Blanda,AB750368C,2022 to 2023,198.56
Eddie,Hagenes,AB185481C,2022 to 2023,865.04
Madie,Greenfelder,AB745467C,2022 to 2023,953.87
Kyleigh,Gerhold,AB468042C,2022 to 2023,455.31
Adrain,Crist,AB355035C,2022 to 2023,949.95
Earl,Balistreri,AB663021C,2022 to 2023,234.33
Rudy,Mertz,AB519634C,2022 to 2023,277.14
Stanton,Champlin,AB848776C,2022 to 2023,240.14
Gayle,Pacocha,AB412134C,2022 to 2023,454.71
Bert,Metz,AB193181C,2022 to 2023,993.86
Merritt,Rutherford,AB467861C,2022 to 2023,115.25
Cielo,Ritchie,AB523186C,2022 to 2023,986.96
Margaretta,Koch,AB204131C,2022 to 2023,273.58
Margarete,Collins,AB193427C,2022 to 2023,696.60
Harold,Rippin,AB638080C,2022 to 2023,335.98
Cloyd,Wyman,AB350051C,2022 to 2023,221.61
D'angelo,Stamm,AB929294C,2022 to 2023,967.50
Jasper,Schaefer,AB799268C,2022 to 2023,579.31
Liana,Prosacco,AB679630C,2022 to 2023,225.07
Melyssa,Stamm,AB779214C,2022 to 2023,726.27
Shaina,Pfannerstill,AB189286C,2022 to 2023,490.35
Juanita,Runolfsdottir,AB487358C,2022 to 2023,914.56
Zoila,Dibbert,AB494891C,2022 to 2023,903.60
Vivien,Quitzon,AB824528C,2022 to 2023,9.95
Mariah,Orn,AB608052C,2022 to 2023,889.34
Annamarie,Koch,AB949710C,2022 to 2023,504.75
Marjolaine,Kassulke,AB471521C,2022 to 2023,235.98
Sim,Raynor,AB832650C,2022 to 2023,401.95
Katelin,Turcotte,AB209102C,2022 to 2023,665.15
Oren,Senger,AB803896C,2022 to 2023,618.94
Cristian,Gusikowski,AB830614C,2022 to 2023,112.01
Holden,Gislason,AB656311C,2022 to 2023,53.57
Ocie,Rohan,AB694495C,2022 to 2023,642.35
Brenden,Batz,AB355433C,2022 to 2023,134.39
Mathias,Schuppe,AB440616C,2022 to 2023,791.33
Josefa,Auer,AB310333C,2022 to 2023,211.49
Bailey,Brekke,AB126347C,2022 to 2023,354.76
Marlee,Stokes,AB988619C,2022 to 2023,69.47
Alford,Hilll,AB689145C,2022 to 2023,447.19
Trystan,Bernhard,AB564618C,2022 to 2023,356.56
Abdul,Fritsch,AB524427C,2022 to 2023,920.38
Mark,Batz,AB879805C,2022 to 2023,94.77
Abbey,Deckow,AB165492C,2022 to 2023,919.85
Lera,Lehner,AB998356C,2022 to 2023,133.96
Aurelia,Bergstrom,AB118948C,2022 to 2023,945.38
Mariane,Weimann,AB256526C,2022 to 2023,910.78
Samara,Kling,AB571837C,2022 to 2023,423.12
Sigurd,Kshlerin,AB715207C,2022 to 2023,624.94
Pauline,Corkery,AB730116C,2022 to 2023,908.27
Cody,Bosco,AB939938C,2022 to 2023,444.17
Maya,Stiedemann,AB776109C,2022 to 2023,38.95
