First name,Last name,National Insurance number,Type of protection held for the crystallisation (see LTA certificate),Protection type reference,Total amount crystallised (£),Date the benefit was crystallised (XX/XX/XXXX)
Jamaal,Emard,AB328180C,Individual protection 2016,12343535,462.29,2022-11-02
Milo,Dietrich,AB223297C,Individual protection 2016,47706208,580.82,2022-11-01
Craig,Boyle,AB168738C,Enhanced lifetime allowance,96951983,412.67,2022-11-04
Dock,Schmidt,AB957137C,Individual protection 2014,71851044,736.04,2022-11-08
Hope,O'Conner,AB834351C,Individual protection 2016,93214093,809.18,2022-11-08
Eric,Hermann,AB560122C,Fixed protection,64725344,222.75,2022-11-02
Conor,Abbott,AB377812C,Fixed protection 2014,27255616,678.35,2022-11-08
Grover,Lubowitz,AB632361C,Fixed protection 2016,94538144,734.18,2022-11-02
Eduardo,Effertz,AB262429C,Individual protection 2016,27375457,125.85,2022-11-08
Bryana,Hoppe,AB936573C,Enhanced protection,23940813,310.85,2022-11-07
Cade,Goyette,AB890074C,Enhanced lifetime allowance,25963222,812.14,2022-11-02
Tavares,Ondricka,AB855098C,Enhanced protection,39032941,942.98,2022-11-08
Amara,Carter,AB382233C,Fixed protection 2016,25590575,705.47,2022-11-03
Molly,Murphy,AB107648C,Enhanced protection,53790112,832.68,2022-11-03
Ubaldo,Pfeffer,AB404841C,Enhanced protection,90549501,987.06,2022-11-03
Gussie,Donnelly,AB658922C,Fixed protection 2016,19563897,328.36,2022-11-03
Marcella,Leffler,AB925771C,Fixed protection 2014,64135296,722.00,2022-11-05
Dianna,Dickinson,AB358501C,Enhanced protection,48412738,869.75,2022-11-06
Jaylen,Glover,AB657906C,Enhanced lifetime allowance,45021555,698.42,2022-11-07
Faye,Willms,AB824829C,Fixed protection 2016,50313430,435.30,2022-11-06
Jerad,Goldner,AB304127C,Fixed protection 2014,76237887,252.06,2022-11-02
Jamar,VonRueden,AB712197C,Enhanced lifetime allowance,13429054,543.15,2022-11-04
Marty,Ullrich,AB372693C,Enhanced lifetime allowance,85272026,836.06,2022-11-07
Doug,Bergnaum,AB726293C,Enhanced protection,39325241,726.93,2022-11-03
Kamille,Green,AB840626C,Individual protection 2014,28114635,790.17,2022-11-01
Greyson,Hills,AB677884C,Individual protection 2016,39891383,295.88,2022-11-04
Catherine,Johnson,AB159719C,Fixed protection 2016,28487321,76.82,2022-11-03
Tremayne,Morissette,AB123177C,Fixed protection 2016,89582973,67.95,2022-11-08
Cleora,Pagac,AB959050C,Individual protection 2016,95294662,114.08,2022-11-08
Armand,Simonis,AB639316C,Fixed protection,36957361,28.08,2022-11-01
Carson,Heaney,AB337635C,Fixed protection,84716000,989.98,2022-11-02
Jakob,Ratke,AB537631C,Fixed protection,91159607,674.94,2022-11-01
Americo,Mraz,AB691675C,Fixed protection,54869529,936.43,2022-11-07
Linnie,Bernhard,AB371062C,Fixed protection,50803740,277.79,2022-11-02
Breanna,Nader,AB587173C,Individual protection 2016,79971466,308.61,2022-11-02
Oswaldo,Schumm,AB770226C,Individual protection 2014,41306503,355.70,2022-11-03
Birdie,Jast,AB109302C,Enhanced protection,10383664,486.28,2022-11-07
Marjory,Berge,AB597837C,Enhanced lifetime allowance,36328376,561.27,2022-11-08
Dante,Feeney,AB577013C,Fixed protection 2014,81878922,228.18,2022-11-03
Orie,Jacobs,AB140151C,Individual protection 2014,53863574,476.48,2022-11-07
Gina,Treutel,AB484164C,Enhanced protection,28337879,694.21,2022-11-08
Elton,Cruickshank,AB321812C,Fixed protection 2016,45771473,644.71,2022-11-05
Godfrey,Towne,AB318320C,Individual protection 2016,58112738,608.16,2022-11-01
Frederik,O'Conner,AB323805C,Individual protection 2014,94953514,137.72,2022-11-06
Melba,Ernser,AB208952C,Fixed protection,63299130,300.10,2022-11-04
Esperanza,Murazik,AB686334C,Fixed protection 2014,85224250,833.58,2022-11-05
Vicente,Konopelski,AB146897C,Enhanced lifetime allowance,27517452,597.25,2022-11-02
Phyllis,King,AB623454C,Individual protection 2016,71001326,107.19,2022-11-08
Natalie,O'Conner,AB389748C,Enhanced protection,52891002,654.43,2022-11-01
Bradley,Muller,AB548187C,Individual protection 2014,61906351,506.13,2022-11-03
Katharina,Ledner,AB830252C,Individual protection 2014,48682995,383.95,2022-11-08
Jedidiah,Corwin,AB356831C,Fixed protection 2016,63673870,251.76,2022-11-01
Cleveland,Strosin,AB471882C,Fixed protection,33756063,618.04,2022-11-08
Rosina,Upton,AB584320C,Fixed protection 2014,26982779,947.28,2022-11-01
Margaret,Schroeder,AB127934C,Fixed protection,66889805,891.90,2022-11-07
Jace,Sanford,AB364510C,Individual protection 2016,44033707,736.26,2022-11-02
Estefania,Kovacek,AB523198C,Fixed protection,85676347,539.89,2022-11-02
Saige,Durgan,AB836452C,Fixed protection,61155476,444.37,2022-11-04
Robbie,Towne,AB759283C,Fixed protection,24147916,749.51,2022-11-05
Margie,Kuhic,AB362184C,Fixed protection 2016,33005269,545.69,2022-11-01
Fleta,Grimes,AB497393C,Enhanced protection,56852198,407.44,2022-11-01
Name,Bergstrom,AB402861C,Fixed protection,44927509,983.31,2022-11-07
Flavio,Lockman,AB761522C,Fixed protection 2014,77064130,983.03,2022-11-03
Virginia,Rath,AB930753C,Fixed protection 2014,97796449,995.93,2022-11-05
Rollin,Lockman,AB542459C,Fixed protection 2014,66768962,768.25,2022-11-07
Immanuel,Crona,AB617379C,Fixed protection,13881823,244.90,2022-11-03
Wilson,Willms,AB681593C,Fixed protection 2016,24813322,151.78,2022-11-06
Curt,Hudson,AB640363C,Enhanced protection,41493074,514.36,2022-11-02
Madison,Kemmer,AB957544C,Enhanced protection,58814220,208.94,2022-11-05
Christophe,Smitham,AB478613C,Fixed protection 2016,90427567,726.87,2022-11-05
Eula,Morissette,AB302557C,Individual protection 2016,75168829,781.10,2022-11-04
Ed,Halvorson,AB298480C,Individual protection 2016,92725366,868.88,2022-11-02
Toney,Prosacco,AB862526C,Enhanced lifetime allowance,95079275,800.19,2022-11-05
Chandler,Tromp,AB857145C,Fixed protection,82081288,122.61,2022-11-02
Sigrid,Hirthe,AB457536C,Fixed protection,80329754,942.11,2022-11-07
Paige,Grant,AB957058C,Enhanced lifetime allowance,83043021,343.60,2022-11-03
Dagmar,Kuvalis,AB765026C,Individual protection 2014,39305130,932.45,2022-11-05
Germaine,Murphy,AB895540C,Enhanced lifetime allowance,98356978,623.54,2022-11-04
Green,Miller,AB139896C,Individual protection 2016,37502009,674.11,2022-11-05
Sadye,Kirlin,AB811867C,Fixed protection 2016,89502542,742.44,2022-11-02
Ressie,Hackett,AB759088C,Fixed protection,25572049,794.25,2022-11-04
Herman,Boyle,AB717405C,Enhanced lifetime allowance,33891323,200.73,2022-11-04
Hilario,Russel,AB501619C,Fixed protection 2016,43239815,582.92,2022-11-02
Madaline,Greenfelder,AB894528C,Individual protection 2014,79628265,872.38,2022-11-04
Rebekah,Pouros,AB649691C,Enhanced lifetime allowance,91312079,83.84,2022-11-06
Annabel,Pacocha,AB473937C,Enhanced protection,84072414,990.61,2022-11-03
Seth,Hilpert,AB411541C,Individual protection 2014,10789201,137.52,2022-11-08
Marlin,Prosacco,AB578885C,Fixed protection 2014,70983072,152.17,2022-11-04
Jadon,Bergstrom,AB271671C,Individual protection 2014,61444628,171.33,2022-11-07
Ward,Brekke,AB728794C,Fixed protection 2014,58161165,520.49,2022-11-04
Dave,Streich,AB467984C,Individual protection 2016,64062672,688.83,2022-11-02
Justina,Wisozk,AB594093C,Individual protection 2014,68834299,702.56,2022-11-03
Abdul,Champlin,AB366011C,Enhanced protection,98963412,766.44,2022-11-04
Moises,Hansen,AB532788C,Individual protection 2014,64841832,492.23,2022-11-08
Electa,McCullough,AB699919C,Individual protection 2016,75738336,958.46,2022-11-01
Maurine,Feeney,AB781708C,Fixed protection,22462734,917.58,2022-11-01
Johathan,Turner,AB502253C,Individual protection 2014,27925648,966.54,2022-11-03
Wilfredo,VonRueden,AB353766C,Fixed protection 2016,10018772,615.77,2022-11-07
Buddy,Mayer,AB192024C,Enhanced lifetime allowance,19921346,54.93,2022-11-04
Viva,Crooks,AB586201C,Fixed protection 2014,79230483,415.63,2022-11-02
Sigurd,Mueller,AB430308C,Fixed protection,99833704,83.55,2022-11-07
Amaya,Kihn,AB817728C,Individual protection 2014,90463875,94.95,2022-11-04
Elmo,Greenholt,AB725763C,Enhanced protection,43248773,583.49,2022-11-01
Casper,Armstrong,AB109279C,Individual protection 2016,56573263,530.47,2022-11-05
Gage,Prosacco,AB451386C,Fixed protection 2014,14050858,57.24,2022-11-06
Bernardo,Kuphal,AB300737C,Fixed protection,62294708,889.86,2022-11-03
Carmine,Towne,AB436821C,Fixed protection 2016,28881611,575.85,2022-11-08
Wendy,Cole,AB133996C,Enhanced lifetime allowance,27344920,129.14,2022-11-08
Howell,Hand,AB766478C,Individual protection 2014,96928108,500.33,2022-11-07
Shawna,McLaughlin,AB616092C,Fixed protection 2014,90888432,489.98,2022-11-03
Lula,King,AB729203C,Fixed protection 2014,52123260,280.06,2022-11-04
Jorge,Fritsch,AB465117C,Fixed protection,51185044,157.57,2022-11-08
Orrin,Bednar,AB572919C,Fixed protection,15559392,734.38,2022-11-08
Sydney,Kunze,AB689665C,Enhanced lifetime allowance,13951703,316.26,2022-11-05
Ambrose,Gulgowski,AB335430C,Individual protection 2014,73834726,840.91,2022-11-02
Arnoldo,Schinner,AB129024C,Enhanced lifetime allowance,18623789,976.95,2022-11-03
Tony,Murazik,AB290834C,Fixed protection,58697905,911.34,2022-11-03
Johan,Casper,AB851355C,Fixed protection 2014,42176398,713.74,2022-11-03
Constance,Kerluke,AB715394C,Fixed protection 2016,67116567,841.20,2022-11-03
Savion,Pollich,AB828513C,Enhanced protection,20405745,196.94,2022-11-01
Hans,McLaughlin,AB611375C,Fixed protection,31124443,154.55,2022-11-05
Ethel,Lockman,AB579884C,Fixed protection 2014,84690484,84.76,2022-11-04
Candelario,Wilderman,AB748748C,Fixed protection 2016,79359588,309.70,2022-11-01
Phyllis,Kuhic,AB819507C,Fixed protection,83753257,617.90,2022-11-02
Imelda,Kautzer,AB369500C,Individual protection 2014,21052340,993.65,2022-11-02
Dudley,O'Reilly,AB789489C,Individual protection 2016,58751200,442.94,2022-11-05
Chandler,Olson,AB400354C,Fixed protection,53524533,818.98,2022-11-02
Joe,Jacobson,AB615009C,Enhanced protection,62412710,926.02,2022-11-03
Omer,Aufderhar,AB271746C,Enhanced protection,59707725,91.47,2022-11-03
Desmond,Bosco,AB213714C,Fixed protection,34247242,2.13,2022-11-07
Mariela,Schuster,AB895319C,Individual protection 2016,64613846,815.94,2022-11-02
Gabriella,Becker,AB288173C,Individual protection 2014,21361652,458.85,2022-11-06
Wendy,Upton,AB467760C,Individual protection 2014,44140027,629.00,2022-11-02
Arnold,Ward,AB415945C,Enhanced lifetime allowance,12348184,9.08,2022-11-05
Lavina,Streich,AB811379C,Individual protection 2016,91234467,503.84,2022-11-03
Rhea,O'Hara,AB373131C,Fixed protection,33763336,496.44,2022-11-05
Libbie,VonRueden,AB277725C,Fixed protection 2014,91201890,736.81,2022-11-01
Jonatan,O'Conner,AB457136C,Enhanced protection,61329193,512.36,2022-11-06
Isabell,Collins,AB866577C,Enhanced lifetime allowance,62299707,685.39,2022-11-01
Anais,McCullough,AB134183C,Enhanced lifetime allowance,19060673,623.61,2022-11-05
Jace,Schuppe,AB668766C,Enhanced protection,71709274,412.87,2022-11-02
Kaleb,Beier,AB155237C,Enhanced protection,91297870,312.70,2022-11-02
Amir,Dietrich,AB683358C,Fixed protection 2014,19212298,34.30,2022-11-07
Drake,Schuster,AB528317C,Individual protection 2014,37733808,851.58,2022-11-01
Sabrina,Bergnaum,AB679669C,Individual protection 2014,40753922,11.63,2022-11-02
Brody,Hintz,AB748575C,Individual protection 2014,20285051,91.65,2022-11-07
Jessika,Lindgren,AB410978C,Fixed protection 2016,99446133,981.30,2022-11-02
Blake,Funk,AB224250C,Fixed protection 2014,57593027,177.11,2022-11-06
Lilyan,Deckow,AB911476C,Enhanced protection,48842129,340.63,2022-11-02
Lesly,Labadie,AB296589C,Enhanced lifetime allowance,14797445,998.88,2022-11-05
Jakob,Rogahn,AB610368C,Fixed protection 2016,79272957,937.02,2022-11-04
Jesse,Kohler,AB508954C,Fixed protection 2014,54305377,442.66,2022-11-02
Vivienne,Wuckert,AB185042C,Fixed protection 2014,13641699,919.08,2022-11-05
Brenna,O'Conner,AB472910C,Fixed protection,19505337,320.05,2022-11-01
Reanna,Wiza,AB250373C,Enhanced lifetime allowance,78241823,20.24,2022-11-04
Werner,Quitzon,AB543167C,Individual protection 2016,20205656,211.54,2022-11-08
Wilford,Douglas,AB279946C,Fixed protection 2014,48080238,973.74,2022-11-06
Darien,Wilkinson,AB441038C,Individual protection 2016,28899676,52.83,2022-11-05
Celine,Corwin,AB843411C,Enhanced protection,95994597,774.73,2022-11-06
Ila,Macejkovic,AB949120C,Enhanced lifetime allowance,45830390,654.02,2022-11-08
Brendon,Bradtke,AB843882C,Individual protection 2016,42833225,828.27,2022-11-06
Kody,Kozey,AB902013C,Fixed protection 2014,31113724,948.84,2022-11-03
Everardo,Murphy,AB913667C,Enhanced protection,44492172,50.78,2022-11-04
Stefanie,Kessler,AB586233C,Fixed protection 2014,63926653,201.07,2022-11-01
Roger,Reilly,AB546035C,Enhanced protection,18361624,52.79,2022-11-05
Twila,Bruen,AB622737C,Individual protection 2014,47851441,920.38,2022-11-01
Heloise,Dare,AB412334C,Fixed protection,14411963,756.88,2022-11-02
Alford,Streich,AB806786C,Fixed protection,10428825,622.03,2022-11-01
Fredy,Grant,AB186973C,Individual protection 2016,73060200,583.20,2022-11-04
Ned,Ullrich,AB874600C,Fixed protection 2016,87942153,299.84,2022-11-07
Pierce,Doyle,AB854149C,Enhanced protection,54929495,495.52,2022-11-08
Ashley,Rice,AB582076C,Enhanced protection,19965145,626.65,2022-11-08
Dimitri,Lang,AB933569C,Individual protection 2014,80392085,801.87,2022-11-03
Santina,Reilly,AB708561C,Individual protection 2016,33304167,177.68,2022-11-07
Kiana,Streich,AB824573C,Individual protection 2014,75784310,660.33,2022-11-05
Darrell,Abernathy,AB684121C,Fixed protection 2014,17293167,765.16,2022-11-05
Levi,Schaden,AB214715C,Enhanced protection,13557259,216.53,2022-11-01
Don,Dickinson,AB679688C,Fixed protection 2014,19845308,661.62,2022-11-06
Cathy,Gibson,AB378858C,Enhanced lifetime allowance,33616758,884.08,2022-11-03
Caden,Christiansen,AB307532C,Individual protection 2016,93262950,538.72,2022-11-08
Marlin,Daugherty,AB401090C,Fixed protection 2016,69574387,773.06,2022-11-02
Dorothea,Emmerich,AB665781C,Fixed protection 2016,20857383,122.60,2022-11-08
Arlo,Heller,AB427266C,Individual protection 2016,97043305,606.56,2022-11-03
Ubaldo,Jewess,AB864543C,Enhanced protection,51889190,422.16,2022-11-03
Patsy,Beier,AB524815C,Enhanced protection,82782581,62.28,2022-11-06
Cristina,Raynor,AB596481C,Enhanced lifetime allowance,67404005,922.04,2022-11-08
Cletus,Emmerich,AB216979C,Fixed protection 2016,88129453,342.56,2022-11-02
Joey,Schumm,AB863922C,Fixed protection 2016,10275764,864.71,2022-11-05
Edwin,Oberbrunner,AB427295C,Enhanced lifetime allowance,58236337,86.38,2022-11-01
Oral,Sawayn,AB921869C,Enhanced lifetime allowance,33870553,507.88,2022-11-05
Nolan,Considine,AB250705C,Enhanced protection,48001675,248.22,2022-11-03
Flo,Moore,AB719395C,Fixed protection 2016,20292652,645.91,2022-11-05
Jordi,Dicki,AB128545C,Individual protection 2014,39398052,567.25,2022-11-06
Verona,Kutch,AB730487C,Fixed protection,56578157,754.84,2022-11-02
Hollie,Price,AB701324C,Individual protection 2016,51632342,99.15,2022-11-06
Demond,Friesen,AB849066C,Fixed protection,62311978,679.91,2022-11-04
Cleta,Wisozk,AB929881C,Individual protection 2014,76568620,971.96,2022-11-06
Deangelo,Corkery,AB957656C,Individual protection 2014,79508528,130.30,2022-11-01
Kiel,Rau,AB885559C,Enhanced lifetime allowance,29010631,969.91,2022-11-06
Ford,Medhurst,AB788593C,Individual protection 2014,11857488,121.97,2022-11-03
Emma,Gutmann,AB615684C,Fixed protection 2016,92069513,776.01,2022-11-05
Glennie,Koch,AB451028C,Fixed protection 2014,25433657,947.46,2022-11-04
Jerome,Hackett,AB560990C,Fixed protection,47075661,471.22,2022-11-02
Verda,Reilly,AB355042C,Enhanced protection,13296156,873.71,2022-11-06
Donny,Schamberger,AB745664C,Enhanced lifetime allowance,27769618,317.47,2022-11-02
Camila,Towne,AB333339C,Fixed protection 2016,89360708,432.29,2022-11-03
Mylene,Cole,AB575728C,Individual protection 2014,40646172,482.97,2022-11-05
Stevie,Denesik,AB698390C,Fixed protection 2014,55371057,916.05,2022-11-01
Dahlia,Boyer,AB707940C,Fixed protection,49302045,762.16,2022-11-04
Burdette,Metz,AB898619C,Enhanced protection,87551472,96.72,2022-11-01
Elfrieda,Carter,AB234828C,Enhanced lifetime allowance,23265058,859.64,2022-11-04
Elmore,McLaughlin,AB332388C,Fixed protection 2016,94176986,312.71,2022-11-07
Pablo,Fahey,AB209943C,Fixed protection,77955176,900.15,2022-11-05
Cathrine,Runte,AB941997C,Enhanced lifetime allowance,40987828,64.32,2022-11-07
Marilou,Emard,AB353644C,Fixed protection,77811620,204.12,2022-11-03
Curtis,Homenick,AB686090C,Fixed protection 2014,26279397,592.11,2022-11-01
Easter,Mitchell,AB693342C,Fixed protection 2016,90786348,118.90,2022-11-02
Kimberly,Dare,AB291049C,Fixed protection 2014,20047513,291.07,2022-11-04
Ashleigh,Schumm,AB174302C,Individual protection 2014,13952143,519.19,2022-11-06
Trace,Hackett,AB842559C,Fixed protection 2014,67820954,722.11,2022-11-01
Ladarius,Wilkinson,AB340932C,Enhanced lifetime allowance,66701115,978.43,2022-11-02
Arvel,Runolfsdottir,AB234259C,Fixed protection 2014,67109259,411.75,2022-11-07
Santos,Dooley,AB948770C,Individual protection 2014,90190208,879.88,2022-11-05
Yazmin,Feeney,AB322489C,Enhanced lifetime allowance,93003149,609.07,2022-11-05
Otto,Bechtelar,AB918534C,Fixed protection,36966861,236.94,2022-11-02
Ivy,Macejkovic,AB810839C,Enhanced protection,65696046,94.36,2022-11-06
Jameson,Baumbach,AB731490C,Individual protection 2014,49900913,154.50,2022-11-07
Esther,Keeling,AB111813C,Fixed protection 2014,65041986,987.91,2022-11-04
Oswaldo,Wilderman,AB373031C,Fixed protection,71875602,573.88,2022-11-03
Adelia,Schmeler,AB547809C,Fixed protection 2016,41266938,840.96,2022-11-04
Moses,Legros,AB838980C,Enhanced protection,24907266,119.35,2022-11-04
Bertha,Hane,AB145890C,Fixed protection 2014,53072338,84.11,2022-11-03
Eldred,Bradtke,AB405169C,Individual protection 2014,17108272,736.34,2022-11-01
Timmy,Wilderman,AB565998C,Individual protection 2016,61701250,867.05,2022-11-07
Flossie,Mraz,AB214125C,Fixed protection,31741605,572.31,2022-11-04
Maximilian,Larson,AB183382C,Fixed protection 2014,80250881,131.68,2022-11-06
Chasity,Murray,AB835937C,Fixed protection 2014,48688266,797.45,2022-11-04
Misael,McKenzie,AB261320C,Enhanced protection,77059818,745.64,2022-11-03
Adolf,Parisian,AB897621C,Enhanced lifetime allowance,57401969,979.77,2022-11-02
Jalon,Tillman,AB882499C,Enhanced lifetime allowance,36557340,798.10,2022-11-07
Cheyenne,Kutch,AB156015C,Individual protection 2014,61986090,915.17,2022-11-05
Emmitt,Feeney,AB850474C,Individual protection 2014,90099333,428.01,2022-11-07
Rosalia,Boyer,AB362018C,Individual protection 2014,87412325,232.78,2022-11-02
Mckenzie,Brekke,AB597952C,Fixed protection,73655188,153.86,2022-11-05
Theodore,Bogan,AB538744C,Individual protection 2016,30424198,61.95,2022-11-05
Hattie,Cormier,AB335860C,Individual protection 2014,56583478,415.54,2022-11-06
Alexandria,Dooley,AB615781C,Fixed protection 2016,23654821,73.40,2022-11-04
Abbey,Hamill,AB578906C,Fixed protection 2014,79517795,408.76,2022-11-08
Taylor,Gislason,AB368228C,Enhanced protection,42824744,199.82,2022-11-01
Chanel,Turner,AB772314C,Fixed protection 2016,56863812,161.28,2022-11-04
Brad,Durgan,AB929779C,Individual protection 2016,35933208,7.71,2022-11-01
Roberto,Von,AB666667C,Individual protection 2014,41028679,733.77,2022-11-05
Dorothy,Schaden,AB810996C,Enhanced protection,54191636,109.08,2022-11-07
Saige,Robel,AB928537C,Fixed protection 2016,50037677,822.33,2022-11-02
Tremaine,Kunde,AB266056C,Individual protection 2016,95684936,373.94,2022-11-07
Ruthe,Runte,AB889319C,Individual protection 2014,21873377,531.40,2022-11-02
Laila,Vandervort,AB401145C,Individual protection 2014,37537105,644.77,2022-11-02
Ron,Predovic,AB690500C,Fixed protection 2014,26018610,478.78,2022-11-08
Eliseo,Collins,AB984598C,Fixed protection 2014,78748735,515.69,2022-11-07
Kelli,Yost,AB416068C,Enhanced protection,85201709,484.99,2022-11-03
