First name,Last name,National Insurance number,In which tax year was the annual allowance exceeded? (XXXX to XXXX),What is the total of the member's pension input amounts for all arrangements under the scheme in the tax year that the annual allowance was exceeded? (£)
Kennith,Senger,AB487636C,2022 to 2023,129.90
Oda,Beier,AB284960C,2022 to 2023,452.42
Pearlie,Turner,AB364100C,2022 to 2023,279.18
Franz,Effertz,AB923738C,2022 to 2023,783.20
Katrine,Mohr,AB939015C,2022 to 2023,105.88
Hans,Windler,AB398190C,2022 to 2023,488.14
Laura,Collier,AB785937C,2022 to 2023,563.78
Pink,McDermott,AB797556C,2022 to 2023,853.36
Ruthie,Gleichner,AB831055C,2022 to 2023,777.60
Carissa,Robel,AB746852C,2022 to 2023,954.08
Bridget,McDermott,AB635121C,2022 to 2023,846.73
Anna,Quigley,AB163274C,2022 to 2023,701.54
Colton,Sauer,AB726549C,2022 to 2023,686.69
Winnifred,Borer,AB461272C,2022 to 2023,703.15
Camylle,Fisher,AB915641C,2022 to 2023,820.48
Audrey,Murazik,AB536168C,2022 to 2023,550.45
Leonora,Klein,AB512681C,2022 to 2023,430.92
Raphael,Hand,AB459874C,2022 to 2023,980.30
Kylee,Halvorson,AB588342C,2022 to 2023,870.05
Anibal,Leuschke,AB140891C,2022 to 2023,833.23
Freddie,Zemlak,AB890521C,2022 to 2023,397.52
Paolo,Rosenbaum,AB203281C,2022 to 2023,339.46
Alford,Douglas,AB796297C,2022 to 2023,3.82
Triston,Waters,AB662869C,2022 to 2023,992.18
Mathilde,Hoppe,AB568301C,2022 to 2023,153.14
Jamaal,Hammes,AB698964C,2022 to 2023,634.59
Kaylie,Kozey,AB552266C,2022 to 2023,90.75
Perry,Kessler,AB844423C,2022 to 2023,931.16
Silas,Jast,AB384551C,2022 to 2023,87.61
Ivy,Wintheiser,AB570273C,2022 to 2023,75.89
Estel,Fisher,AB541864C,2022 to 2023,685.49
Kaitlyn,O'Keefe,AB417927C,2022 to 2023,978.58
Bud,Braun,AB757372C,2022 to 2023,758.66
Floyd,VonRueden,AB638147C,2022 to 2023,157.51
Alia,Klein,AB705024C,2022 to 2023,361.37
Noah,Runolfsdottir,AB658849C,2022 to 2023,457.40
Eugene,Donnelly,AB635225C,2022 to 2023,709.72
Toni,Von,AB556975C,2022 to 2023,254.20
Lessie,Borer,AB970753C,2022 to 2023,840.29
Brice,Halvorson,AB944120C,2022 to 2023,346.01
Cleora,Gulgowski,AB362825C,2022 to 2023,633.65
Tressie,Lehner,AB102443C,2022 to 2023,325.83
Travon,Hayes,AB587228C,2022 to 2023,629.29
Friedrich,Runolfsson,AB357576C,2022 to 2023,998.99
Kian,Dietrich,AB243007C,2022 to 2023,903.37
Ashly,Kshlerin,AB791801C,2022 to 2023,460.22
Daniela,Klein,AB736021C,2022 to 2023,512.90
Eldridge,Pacocha,AB100034C,2022 to 2023,112.02
Marcelina,Nader,AB966342C,2022 to 2023,286.63
Ahmad,Fadel,AB447155C,2022 to 2023,89.16
Eino,Ritchie,AB439623C,2022 to 2023,695.94
Edwin,Powlowski,AB136656C,2022 to 2023,488.01
Juanita,Greenfelder,AB477808C,2022 to 2023,72.95
Javon,Haley,AB751094C,2022 to 2023,808.12
Jocelyn,Hamill,AB837027C,2022 to 2023,968.82
Sheldon,Moen,AB275614C,2022 to 2023,289.25
Jacynthe,Kozey,AB737211C,2022 to 2023,553.57
Rod,Mante,AB776907C,2022 to 2023,958.52
Madge,Runolfsdottir,AB526622C,2022 to 2023,627.61
Markus,Hickle,AB899804C,2022 to 2023,713.40
Clifton,Luettgen,AB591810C,2022 to 2023,363.15
Kurtis,Jast,AB679404C,2022 to 2023,908.17
Katelyn,Grady,AB496251C,2022 to 2023,357.48
Darrion,Homenick,AB184751C,2022 to 2023,635.76
Deion,Keeling,AB525250C,2022 to 2023,83.63
Berenice,Daugherty,AB419071C,2022 to 2023,440.47
Anya,Barrows,AB244263C,2022 to 2023,333.39
Eula,Goodwin,AB557112C,2022 to 2023,23.37
Kari,Runolfsson,AB402552C,2022 to 2023,779.36
Joannie,Murphy,AB853487C,2022 to 2023,401.64
Vena,Ratke,AB420078C,2022 to 2023,954.88
Melyssa,Braun,AB189263C,2022 to 2023,55.14
Rita,Ward,AB419884C,2022 to 2023,270.45
Alan,Weber,AB997574C,2022 to 2023,731.35
Norwood,Bernier,AB780820C,2022 to 2023,25.54
Nettie,Brown,AB300669C,2022 to 2023,809.61
Jess,Schuppe,AB158466C,2022 to 2023,234.37
Madeline,Kassulke,AB532627C,2022 to 2023,871.14
Alice,Stiedemann,AB616846C,2022 to 2023,73.86
Tevin,Lowe,AB146061C,2022 to 2023,105.77
Alexane,Emmerich,AB490126C,2022 to 2023,440.19
Chad,Gulgowski,AB596851C,2022 to 2023,390.79
Lindsay,Schultz,AB713361C,2022 to 2023,875.27
Sydnie,Windler,AB951271C,2022 to 2023,659.09
Bradford,Walsh,AB875024C,2022 to 2023,952.91
Modesto,Carter,AB833769C,2022 to 2023,339.79
Lorna,Weimann,AB988186C,2022 to 2023,386.52
Alden,Schuster,AB692191C,2022 to 2023,121.32
Nannie,Boyle,AB664951C,2022 to 2023,370.04
Lamont,Batz,AB366820C,2022 to 2023,212.59
Saul,Zieme,AB671169C,2022 to 2023,427.32
Dana,Windler,AB289601C,2022 to 2023,768.81
Peggie,Marquardt,AB517348C,2022 to 2023,968.31
Lenna,Ullrich,AB681670C,2022 to 2023,664.51
Dahlia,Schumm,AB922409C,2022 to 2023,752.66
Mireille,Labadie,AB128592C,2022 to 2023,209.71
Rosario,Runte,AB393414C,2022 to 2023,810.90
Lewis,McClure,AB109234C,2022 to 2023,615.01
Rylee,Strosin,AB905158C,2022 to 2023,580.19
Selena,Hilpert,AB896930C,2022 to 2023,65.63
Lucius,Johns,AB108459C,2022 to 2023,632.29
Giovanni,VonRueden,AB931710C,2022 to 2023,204.66
Myrtle,Hilpert,AB180598C,2022 to 2023,193.57
Jennie,Hirthe,AB575885C,2022 to 2023,311.91
Gordon,Monahan,AB835455C,2022 to 2023,550.69
Zoe,Bashirian,AB476013C,2022 to 2023,390.86
Jaquan,Lakin,AB463414C,2022 to 2023,414.28
Jarod,Ward,AB722446C,2022 to 2023,639.52
Baron,Leuschke,AB277675C,2022 to 2023,4.77
Shaylee,Heller,AB399405C,2022 to 2023,121.61
Carolanne,Toy,AB764491C,2022 to 2023,58.31
Tiana,Muller,AB875845C,2022 to 2023,9.92
Talia,Hahn,AB356986C,2022 to 2023,729.26
Octavia,Beer,AB527104C,2022 to 2023,776.53
Ila,Luettgen,AB955264C,2022 to 2023,681.54
Vesta,Kozey,AB826386C,2022 to 2023,964.14
Demetrius,Greenholt,AB280709C,2022 to 2023,281.44
Howell,Roberts,AB297955C,2022 to 2023,624.87
Rogers,Pacocha,AB501925C,2022 to 2023,660.59
Mckenzie,Franecki,AB418701C,2022 to 2023,768.60
Allie,Donnelly,AB578275C,2022 to 2023,939.61
Wilfredo,Spencer,AB229590C,2022 to 2023,218.66
Monique,Gislason,AB914502C,2022 to 2023,906.75
Savanah,Heaney,AB492435C,2022 to 2023,317.91
Edgar,Balistreri,AB636954C,2022 to 2023,334.33
Eryn,Zieme,AB947876C,2022 to 2023,127.13
Watson,Kshlerin,AB747790C,2022 to 2023,333.83
Imogene,Champlin,AB544661C,2022 to 2023,158.19
Lillie,Doyle,AB832982C,2022 to 2023,214.91
Beau,Keeling,AB541351C,2022 to 2023,857.22
Austen,Kutch,AB776932C,2022 to 2023,514.96
Edgar,Keebler,AB561238C,2022 to 2023,448.65
Vida,Gottlieb,AB852057C,2022 to 2023,941.94
Oda,Stracke,AB917957C,2022 to 2023,42.80
Weldon,Rowe,AB947215C,2022 to 2023,612.04
Jeanette,Volkman,AB804324C,2022 to 2023,965.29
Carey,Watsica,AB202274C,2022 to 2023,586.10
Abdul,Kunze,AB554324C,2022 to 2023,508.29
Dayton,Hane,AB632703C,2022 to 2023,841.38
Assunta,Boehm,AB685491C,2022 to 2023,846.69
Justyn,Brekke,AB839425C,2022 to 2023,267.28
Hiram,Hudson,AB890106C,2022 to 2023,279.05
Felicia,Von,AB192497C,2022 to 2023,293.06
Karine,Hilll,AB536457C,2022 to 2023,737.04
Aletha,Trantow,AB889507C,2022 to 2023,626.18
Garry,Wisoky,AB765947C,2022 to 2023,268.51
Evan,Pfeffer,AB735859C,2022 to 2023,848.84
Sage,Gerhold,AB818147C,2022 to 2023,680.43
Hipolito,Kuhn,AB857644C,2022 to 2023,849.96
Gudrun,Jakubowski,AB427556C,2022 to 2023,823.13
Kristoffer,Halvorson,AB523678C,2022 to 2023,47.66
Tina,Rosenbaum,AB322779C,2022 to 2023,643.40
Marcella,Bogisich,AB482916C,2022 to 2023,743.75
Joaquin,Kunde,AB402018C,2022 to 2023,809.70
Clarissa,Ledner,AB550898C,2022 to 2023,467.25
Bret,Reichel,AB128948C,2022 to 2023,479.12
Rebeca,Mueller,AB211231C,2022 to 2023,805.71
Dedrick,Ernser,AB483355C,2022 to 2023,271.23
Sarai,Greenholt,AB267628C,2022 to 2023,865.13
Cleo,Langosh,AB263570C,2022 to 2023,61.19
Edythe,Lindgren,AB975609C,2022 to 2023,588.81
Sallie,Morissette,AB891561C,2022 to 2023,826.47
Vernon,Price,AB935420C,2022 to 2023,89.32
Bill,Muller,AB895558C,2022 to 2023,523.50
Aurelie,Herzog,AB946459C,2022 to 2023,354.24
Camylle,Upton,AB575532C,2022 to 2023,242.08
Art,Raynor,AB709698C,2022 to 2023,998.56
Jordon,Halvorson,AB859501C,2022 to 2023,257.51
Laverna,Murphy,AB716582C,2022 to 2023,635.12
Bridgette,Bruen,AB573121C,2022 to 2023,976.83
Katharina,Leannon,AB806702C,2022 to 2023,193.87
Giles,Kerluke,AB736349C,2022 to 2023,195.39
Mazie,Ondricka,AB518251C,2022 to 2023,998.80
Emilio,Becker,AB274344C,2022 to 2023,861.16
Emelia,Osinski,AB864935C,2022 to 2023,498.66
Thalia,Gislason,AB294336C,2022 to 2023,877.13
Greyson,Purdy,AB706217C,2022 to 2023,602.25
Anissa,Abernathy,AB429737C,2022 to 2023,816.76
Roy,Hilpert,AB628498C,2022 to 2023,681.44
Garrett,Turner,AB733829C,2022 to 2023,168.34
Katharina,Sauer,AB855807C,2022 to 2023,874.29
Mariela,Rippin,AB280795C,2022 to 2023,537.48
Freeda,Jacobson,AB188921C,2022 to 2023,250.13
Annabelle,Boehm,AB992713C,2022 to 2023,661.17
Diego,Brekke,AB733661C,2022 to 2023,841.64
Ella,Kohler,AB974170C,2022 to 2023,558.05
Ari,Greenfelder,AB851417C,2022 to 2023,539.67
Tavares,Eichmann,AB429804C,2022 to 2023,823.54
Marjolaine,Altenwerth,AB746895C,2022 to 2023,100.20
Richmond,Smith,AB277673C,2022 to 2023,772.75
Colby,Bashirian,AB383832C,2022 to 2023,621.33
Noah,Bradtke,AB107110C,2022 to 2023,72.36
Faye,Jacobson,AB879580C,2022 to 2023,79.54
Justus,O'Keefe,AB915952C,2022 to 2023,3.64
Maverick,Labadie,AB277575C,2022 to 2023,883.13
Halle,Fadel,AB258336C,2022 to 2023,668.96
Otho,Kling,AB164095C,2022 to 2023,783.73
Casimir,Hettinger,AB394475C,2022 to 2023,461.32
Geovanni,Graham,AB510835C,2022 to 2023,831.17
Nadia,Wintheiser,AB807994C,2022 to 2023,22.87
Samantha,Strosin,AB877246C,2022 to 2023,863.34
Dario,White,AB722949C,2022 to 2023,400.49
Jayce,Yost,AB721724C,2022 to 2023,63.56
Mike,Crooks,AB383413C,2022 to 2023,237.57
Pinkie,Cruickshank,AB732328C,2022 to 2023,830.53
Chanelle,Tromp,AB297785C,2022 to 2023,45.45
Helena,Gutkowski,AB543683C,2022 to 2023,895.40
Dan,Kassulke,AB268397C,2022 to 2023,229.95
Kacie,Lesch,AB599535C,2022 to 2023,508.97
Beatrice,Heidenreich,AB843854C,2022 to 2023,577.40
Ima,Romaguera,AB717227C,2022 to 2023,477.59
Gilberto,Monahan,AB197461C,2022 to 2023,242.77
Brandon,Hilpert,AB307319C,2022 to 2023,34.59
Dorthy,Turcotte,AB719346C,2022 to 2023,447.70
Cathy,Feeney,AB489871C,2022 to 2023,37.44
Ewald,Wyman,AB278682C,2022 to 2023,604.06
Chasity,Swift,AB873558C,2022 to 2023,499.76
Ransom,Schultz,AB330516C,2022 to 2023,173.05
Preston,Grimes,AB482724C,2022 to 2023,95.88
Providenci,Nikolaus,AB341416C,2022 to 2023,25.62
Esta,Lehner,AB146694C,2022 to 2023,55.41
Patience,Mitchell,AB802183C,2022 to 2023,287.14
Kathleen,Fay,AB361058C,2022 to 2023,256.45
Gunner,Bergstrom,AB503027C,2022 to 2023,144.32
Chanel,Emmerich,AB995846C,2022 to 2023,782.30
Paula,Conroy,AB290157C,2022 to 2023,457.41
Leonie,Braun,AB466610C,2022 to 2023,643.43
Trudie,Reynolds,AB102288C,2022 to 2023,342.50
Bernita,Feeney,AB750618C,2022 to 2023,499.44
Nathanial,Gusikowski,AB109751C,2022 to 2023,224.80
Tyrell,Mosciski,AB340529C,2022 to 2023,272.81
Marty,Cronin,AB120775C,2022 to 2023,874.28
Lamar,Wehner,AB384706C,2022 to 2023,344.48
Zack,Parisian,AB210662C,2022 to 2023,399.76
Trisha,Marquardt,AB215094C,2022 to 2023,174.60
Mathew,Nicolas,AB107251C,2022 to 2023,972.86
Nikita,Hegmann,AB773167C,2022 to 2023,550.15
Stefanie,Ernser,AB583021C,2022 to 2023,222.63
Darrick,Hyatt,AB722010C,2022 to 2023,273.19
Katrina,Mills,AB890478C,2022 to 2023,454.97
Ida,Kerluke,AB391382C,2022 to 2023,603.62
Layla,Parisian,AB518535C,2022 to 2023,885.94
Ivy,Mayer,AB478818C,2022 to 2023,144.12
Laurine,Lind,AB978937C,2022 to 2023,149.29
Wiley,Conn,AB626935C,2022 to 2023,107.08
Petra,Conn,AB654396C,2022 to 2023,527.22
Christelle,Okuneva,AB441332C,2022 to 2023,17.86
Edwin,Farrell,AB124440C,2022 to 2023,123.77
Ned,Sipes,AB535639C,2022 to 2023,901.38
Spencer,Streich,AB560048C,2022 to 2023,56.91
Abagail,Steuber,AB135545C,2022 to 2023,647.00
Cristina,Rempel,AB707595C,2022 to 2023,574.22
Nickolas,Rau,AB242325C,2022 to 2023,988.86
Kim,O'Connell,AB573430C,2022 to 2023,274.17
Emelie,Rice,AB413515C,2022 to 2023,318.80
Earline,O'Hara,AB561111C,2022 to 2023,140.98
Alexa,Luettgen,AB173052C,2022 to 2023,332.78
Tressie,Rempel,AB871131C,2022 to 2023,682.60
Simone,Senger,AB731042C,2022 to 2023,632.84
Etha,Wolf,AB469486C,2022 to 2023,951.98
Lorenzo,Ullrich,AB322226C,2022 to 2023,408.06
Camren,Kunde,AB390993C,2022 to 2023,695.45
Nikki,Howell,AB765077C,2022 to 2023,910.27
Arjun,Wisoky,AB385578C,2022 to 2023,381.62
Laisha,Rosenbaum,AB656414C,2022 to 2023,251.36
Kareem,Leffler,AB777478C,2022 to 2023,363.58
Marley,Lueilwitz,AB153199C,2022 to 2023,526.44
Edythe,Rice,AB112313C,2022 to 2023,469.90
Kamron,Larkin,AB623109C,2022 to 2023,962.11
Brionna,Will,AB637802C,2022 to 2023,771.56
Jakayla,Heidenreich,AB721782C,2022 to 2023,546.42
Donnell,Mann,AB625804C,2022 to 2023,184.42
Kieran,Pacocha,AB234964C,2022 to 2023,365.83
Adelia,Schimmel,AB299745C,2022 to 2023,744.62
Fredy,Gottlieb,AB740599C,2022 to 2023,526.91
Kailey,Witting,AB828829C,2022 to 2023,767.32
Dawn,Homenick,AB260536C,2022 to 2023,104.29
Graciela,Hartmann,AB322142C,2022 to 2023,819.47
Jennings,Hermann,AB278541C,2022 to 2023,64.10
Zachary,Ortiz,AB279046C,2022 to 2023,725.60
Hillard,Denesik,AB906372C,2022 to 2023,370.19
Eladio,Doyle,AB206649C,2022 to 2023,465.55
Kaylah,Dibbert,AB907225C,2022 to 2023,808.39
Hipolito,Kuvalis,AB534918C,2022 to 2023,263.33
Cleveland,Klocko,AB165740C,2022 to 2023,877.30
Gerald,Pfannerstill,AB920436C,2022 to 2023,910.82
Ari,Ferry,AB790723C,2022 to 2023,195.70
Lucas,Runolfsson,AB818511C,2022 to 2023,760.94
Stewart,Crist,AB125048C,2022 to 2023,363.38
Eliezer,Wolff,AB277510C,2022 to 2023,182.33
Gage,King,AB953746C,2022 to 2023,612.85
Kaleb,Hegmann,AB748121C,2022 to 2023,494.18
Effie,Ebert,AB421743C,2022 to 2023,788.72
Gunner,Larkin,AB659496C,2022 to 2023,760.54
Russel,Herzog,AB323812C,2022 to 2023,646.78
Kane,Walsh,AB198687C,2022 to 2023,93.16
Virginia,Schaden,AB412197C,2022 to 2023,722.89
Retta,Paucek,AB856815C,2022 to 2023,571.91
Randi,Schmitt,AB505282C,2022 to 2023,23.02
Electa,Blick,AB154548C,2022 to 2023,25.40
Rossie,Crooks,AB860266C,2022 to 2023,879.25
Coleman,Towne,AB616809C,2022 to 2023,706.68
Moshe,Kuphal,AB589296C,2022 to 2023,913.50
Mellie,Price,AB924919C,2022 to 2023,396.13
Brown,Kuhn,AB439095C,2022 to 2023,729.07
Woodrow,Zieme,AB343916C,2022 to 2023,85.06
Zackery,Jacobi,AB493989C,2022 to 2023,718.04
Alize,Lebsack,AB216472C,2022 to 2023,615.37
Ocie,O'Reilly,AB303135C,2022 to 2023,984.66
Candido,Bradtke,AB587638C,2022 to 2023,25.52
Keara,Towne,AB795337C,2022 to 2023,486.74
Don,Hammes,AB933946C,2022 to 2023,654.60
Emmy,Ebert,AB209274C,2022 to 2023,896.54
Twila,Leffler,AB720714C,2022 to 2023,385.06
Viva,Russel,AB978221C,2022 to 2023,628.31
Tyrique,White,AB448001C,2022 to 2023,370.18
Ernestina,Dietrich,AB661812C,2022 to 2023,20.09
Tyrel,Wolf,AB185096C,2022 to 2023,176.95
Rey,Champlin,AB883235C,2022 to 2023,35.53
Abelardo,Gottlieb,AB922118C,2022 to 2023,920.43
Myron,Lind,AB341473C,2022 to 2023,584.06
Alexandrea,Ortiz,AB253669C,2022 to 2023,489.42
Barney,Gibson,AB288792C,2022 to 2023,219.67
Mathew,Aufderhar,AB559352C,2022 to 2023,119.31
Elisa,Gutmann,AB864713C,2022 to 2023,491.15
Antwan,Connelly,AB859443C,2022 to 2023,8.73
Nico,Klocko,AB843390C,2022 to 2023,476.61
Cyril,Littel,AB164462C,2022 to 2023,697.46
Julius,Denesik,AB857044C,2022 to 2023,815.03
Royal,Predovic,AB548875C,2022 to 2023,212.38
Alivia,Satterfield,AB224092C,2022 to 2023,602.57
Lisandro,Johnson,AB235120C,2022 to 2023,339.29
Marquis,Kuphal,AB268165C,2022 to 2023,552.52
Pat,Schroeder,AB979095C,2022 to 2023,215.58
Elisabeth,Mueller,AB895244C,2022 to 2023,89.39
Claudia,Waters,AB288326C,2022 to 2023,739.27
Delbert,Gulgowski,AB432266C,2022 to 2023,705.62
Brennan,McLaughlin,AB293854C,2022 to 2023,86.44
Joana,Kemmer,AB761030C,2022 to 2023,465.57
Abigale,Macejkovic,AB479019C,2022 to 2023,311.58
Ida,Marquardt,AB398061C,2022 to 2023,832.21
Eda,Schoen,AB208287C,2022 to 2023,402.87
Cassidy,Collier,AB620360C,2022 to 2023,199.88
Curt,Wunsch,AB634356C,2022 to 2023,196.42
Kameron,Nienow,AB830987C,2022 to 2023,36.08
Naomi,Fisher,AB652537C,2022 to 2023,950.48
Bernard,Von,AB579745C,2022 to 2023,406.06
Ova,Bahringer,AB776205C,2022 to 2023,430.22
Milton,Wintheiser,AB713367C,2022 to 2023,776.12
Natalia,Mann,AB963189C,2022 to 2023,51.67
Kurtis,Mueller,AB394123C,2022 to 2023,639.35
Bryana,Huel,AB620895C,2022 to 2023,674.94
Keyon,Dibbert,AB566494C,2022 to 2023,624.49
Favian,Kohler,AB479677C,2022 to 2023,933.37
Erna,Wolf,AB666482C,2022 to 2023,199.10
Germaine,Stanton,AB487263C,2022 to 2023,559.79
Fletcher,Gutmann,AB498355C,2022 to 2023,563.57
Theresa,Eichmann,AB749041C,2022 to 2023,322.58
Priscilla,Kohler,AB988985C,2022 to 2023,232.24
Myron,Koepp,AB128013C,2022 to 2023,621.66
Camron,Wisoky,AB615090C,2022 to 2023,484.50
Stanford,Bahringer,AB782171C,2022 to 2023,375.89
Tom,Hyatt,AB205867C,2022 to 2023,111.38
Kenyon,Kling,AB430088C,2022 to 2023,824.79
Edgardo,Vandervort,AB309412C,2022 to 2023,994.79
Marilou,Labadie,AB203845C,2022 to 2023,450.09
Audrey,Hilpert,AB238612C,2022 to 2023,527.13
Jolie,Blick,AB400688C,2022 to 2023,309.31
Jacinto,Wunsch,AB611082C,2022 to 2023,816.14
Bridie,Wolf,AB564971C,2022 to 2023,5.71
Remington,Franecki,AB774343C,2022 to 2023,139.87
Lacey,Grant,AB145676C,2022 to 2023,765.68
Dwight,Torp,AB365868C,2022 to 2023,248.50
Noemy,Lowe,AB161337C,2022 to 2023,685.03
Lula,Kling,AB878183C,2022 to 2023,786.60
Kristy,Hartmann,AB263498C,2022 to 2023,626.53
Jevon,Gusikowski,AB255209C,2022 to 2023,999.32
Lambert,Kunze,AB956467C,2022 to 2023,987.95
Gavin,Rowe,AB592648C,2022 to 2023,64.15
Letha,Zieme,AB342992C,2022 to 2023,745.01
Coleman,Feil,AB978565C,2022 to 2023,609.71
Kira,Padberg,AB386529C,2022 to 2023,238.79
Harrison,Jerde,AB222776C,2022 to 2023,347.65
Izabella,Stroman,AB680858C,2022 to 2023,834.10
Walter,Pollich,AB167240C,2022 to 2023,462.57
June,Donnelly,AB260674C,2022 to 2023,444.31
Sammie,Altenwerth,AB563044C,2022 to 2023,499.14
Nakia,Mante,AB930588C,2022 to 2023,749.82
Mitchel,Dare,AB341749C,2022 to 2023,22.83
Zaria,West,AB667147C,2022 to 2023,191.73
Sarah,Block,AB632762C,2022 to 2023,981.50
Keon,Wilkinson,AB161724C,2022 to 2023,909.45
Uriah,Crona,AB764126C,2022 to 2023,695.19
Jena,Green,AB688921C,2022 to 2023,435.17
Vaughn,Kovacek,AB285194C,2022 to 2023,174.94
Rasheed,Carter,AB180625C,2022 to 2023,969.32
Summer,Farrell,AB857540C,2022 to 2023,385.81
Clemens,Casper,AB967307C,2022 to 2023,656.63
Lilyan,Heidenreich,AB419840C,2022 to 2023,889.72
Della,Schoen,AB197752C,2022 to 2023,63.67
Courtney,Johns,AB570378C,2022 to 2023,806.60
Monte,Brekke,AB678833C,2022 to 2023,272.44
Unique,Simonis,AB718874C,2022 to 2023,527.56
Noemy,Hettinger,AB259002C,2022 to 2023,560.24
Al,Brown,AB422266C,2022 to 2023,732.15
Pablo,Ritchie,AB219717C,2022 to 2023,401.68
Keanu,Lockman,AB248403C,2022 to 2023,103.74
Audra,Brekke,AB939199C,2022 to 2023,513.77
Kara,Hyatt,AB321829C,2022 to 2023,714.01
Gage,Schroeder,AB268577C,2022 to 2023,523.82
Carter,Beer,AB763681C,2022 to 2023,174.76
Eileen,Bergstrom,AB995626C,2022 to 2023,721.89
Madilyn,Ernser,AB328358C,2022 to 2023,182.80
Adalberto,Labadie,AB225930C,2022 to 2023,606.29
Deja,Quitzon,AB102917C,2022 to 2023,159.42
Cynthia,Bailey,AB944752C,2022 to 2023,853.91
Jackeline,Senger,AB493588C,2022 to 2023,626.66
Frederik,Rohan,AB258664C,2022 to 2023,585.61
Rachel,Littel,AB745820C,2022 to 2023,173.39
Harmon,Kunze,AB974116C,2022 to 2023,728.21
Marty,Crist,AB569097C,2022 to 2023,238.49
Jedediah,Heidenreich,AB516241C,2022 to 2023,853.67
Jalon,Mertz,AB482653C,2022 to 2023,519.07
Michale,Grant,AB183119C,2022 to 2023,252.03
Santa,Corwin,AB666238C,2022 to 2023,557.44
Estella,Smitham,AB962744C,2022 to 2023,109.98
Harvey,Champlin,AB954617C,2022 to 2023,932.94
Velva,Mann,AB458935C,2022 to 2023,327.01
Amara,Langworth,AB565562C,2022 to 2023,76.36
Audie,Considine,AB883717C,2022 to 2023,749.77
Enola,Zieme,AB334053C,2022 to 2023,641.30
Holly,Gutmann,AB196362C,2022 to 2023,927.87
Braeden,Hessel,AB948914C,2022 to 2023,958.49
Beaulah,Waters,AB782857C,2022 to 2023,195.06
Arvel,Christiansen,AB852103C,2022 to 2023,443.23
Crystal,Cormier,AB833014C,2022 to 2023,165.93
Jessica,Kertzmann,AB838398C,2022 to 2023,838.59
Brielle,Cronin,AB584479C,2022 to 2023,624.32
Craig,Haley,AB719303C,2022 to 2023,893.63
Krystel,Stiedemann,AB730438C,2022 to 2023,791.19
Jamie,Schroeder,AB144835C,2022 to 2023,345.89
Ella,Ebert,AB227845C,2022 to 2023,508.80
Dorothea,Kautzer,AB356640C,2022 to 2023,340.85
Moises,Borer,AB320412C,2022 to 2023,413.18
Lane,Auer,AB943199C,2022 to 2023,85.88
Maximo,Denesik,AB316103C,2022 to 2023,510.78
Malinda,Leffler,AB422380C,2022 to 2023,729.28
Myrl,Wyman,AB131298C,2022 to 2023,444.69
Carmella,Franecki,AB697742C,2022 to 2023,459.92
Zack,Veum,AB405322C,2022 to 2023,535.90
Betty,Barrows,AB547238C,2022 to 2023,39.29
Viola,Bernhard,AB987932C,2022 to 2023,315.32
Tyra,Bradtke,AB788688C,2022 to 2023,806.76
Kirsten,Grady,AB925740C,2022 to 2023,933.25
Cale,Olson,AB152469C,2022 to 2023,226.10
Sallie,Schmitt,AB972738C,2022 to 2023,115.69
Camila,Kessler,AB206166C,2022 to 2023,864.97
Arden,Schaden,AB915819C,2022 to 2023,47.23
Eleazar,Tremblay,AB618964C,2022 to 2023,350.28
Electa,Hyatt,AB861812C,2022 to 2023,88.71
Jordane,Hilpert,AB651321C,2022 to 2023,786.59
Russell,Fahey,AB613002C,2022 to 2023,844.20
Mattie,Lehner,AB376063C,2022 to 2023,12.87
Linnea,Lynch,AB264406C,2022 to 2023,116.89
Cassandre,Shields,AB435639C,2022 to 2023,42.84
Brent,Gusikowski,AB385264C,2022 to 2023,593.74
Mercedes,White,AB918434C,2022 to 2023,431.14
Charley,Gottlieb,AB904699C,2022 to 2023,719.55
Terrill,Beer,AB258715C,2022 to 2023,130.03
Ted,Mayert,AB471700C,2022 to 2023,583.08
Kaitlyn,Heathcote,AB776514C,2022 to 2023,901.15
Alysha,Torp,AB458454C,2022 to 2023,399.03
Griffin,Cremin,AB978382C,2022 to 2023,780.83
Brenda,Gislason,AB283780C,2022 to 2023,942.59
Margarette,Champlin,AB392353C,2022 to 2023,992.52
Carmel,Bosco,AB967865C,2022 to 2023,970.71
Clemmie,Pollich,AB842918C,2022 to 2023,812.12
Lelia,Hand,AB977366C,2022 to 2023,449.45
Yessenia,Stanton,AB901856C,2022 to 2023,320.46
Rod,Adams,AB363736C,2022 to 2023,278.18
Aaron,Flatley,AB991209C,2022 to 2023,60.82
Kathlyn,Corwin,AB221181C,2022 to 2023,233.97
Lolita,Kemmer,AB991417C,2022 to 2023,761.27
Arvilla,Reichel,AB204927C,2022 to 2023,342.24
Diana,Kirlin,AB202636C,2022 to 2023,605.85
Annetta,Koch,AB524261C,2022 to 2023,757.80
Hilario,Huel,AB620443C,2022 to 2023,38.94
Einar,Welch,AB457665C,2022 to 2023,901.20
Lou,Stroman,AB427134C,2022 to 2023,768.14
Vito,Tillman,AB468220C,2022 to 2023,572.76
Ursula,Von,AB819835C,2022 to 2023,578.22
Antonietta,Oberbrunner,AB346867C,2022 to 2023,687.54
Emory,Padberg,AB182765C,2022 to 2023,197.26
Elinor,Hudson,AB321043C,2022 to 2023,850.12
Shanny,Stoltenberg,AB931505C,2022 to 2023,569.33
